0,-6.8301e-05,-1.2312e-06,0.00027969
0.01,-0.038354,-0.095815,0.084661
0.02,-0.078935,-0.19243,0.16817
0.03,-0.12171,-0.28857,0.25008
0.04,-0.16654,-0.38299,0.32967
0.05,-0.21324,-0.47445,0.40624
0.06,-0.26157,-0.56175,0.47908
0.07,-0.31128,-0.64375,0.54752
0.08,-0.36206,-0.71937,0.61093
0.09,-0.41356,-0.78761,0.66871
0.1,-0.46541,-0.84757,0.7203
0.11,-0.51721,-0.89844,0.7652
0.12,-0.56852,-0.93956,0.80296
0.13,-0.6189,-0.97036,0.8332
0.14,-0.66788,-0.99042,0.85561
0.15,-0.71499,-0.99945,0.86994
0.16,-0.75975,-0.9973,0.87603
0.17,-0.80167,-0.98397,0.87378
0.18,-0.84029,-0.95959,0.86318
0.19,-0.87515,-0.92445,0.84431
0.2,-0.9058,-0.87895,0.8173
0.21,-0.93184,-0.82365,0.7824
0.22,-0.95288,-0.7592,0.73991
0.23,-0.96857,-0.68639,0.69021
0.24,-0.9786,-0.60611,0.63374
0.25,-0.98271,-0.51934,0.57104
0.26,-0.98069,-0.42714,0.50267
0.27,-0.97238,-0.33063,0.42927
0.28,-0.95766,-0.231,0.35153
0.29,-0.93651,-0.12946,0.27016
0.3,-0.90892,-0.027241,0.18592
0.31,-0.87498,0.074402,0.099605
0.32,-0.83482,0.17424,0.011996
0.33,-0.78865,0.27107,-0.076097
0.34,-0.73671,0.36371,-0.16387
0.35,-0.67933,0.45106,-0.25054
0.36,-0.61688,0.53208,-0.33532
0.37,-0.54977,0.6058,-0.41747
0.38,-0.4785,0.67135,-0.49627
0.39,-0.40356,0.72797,-0.57107
0.4,-0.32552,0.775,-0.64125
0.41,-0.24496,0.81192,-0.70624
0.42,-0.16251,0.8383,-0.76554
0.43,-0.078799,0.85388,-0.81873
0.44,0.0055133,0.8585,-0.86544
0.45,0.089766,0.85215,-0.90539
0.46,0.17329,0.83496,-0.93837
0.47,0.25543,0.80717,-0.96425
0.48,0.33554,0.76916,-0.98296
0.49,0.41298,0.72142,-0.99454
0.5,0.48716,0.66455,-0.99907
0.51,0.55748,0.59928,-0.99671
0.52,0.62342,0.52639,-0.98771
0.53,0.68447,0.44678,-0.97236
0.54,0.74017,0.36141,-0.95102
0.55,0.79014,0.2713,-0.92407
0.56,0.83402,0.17751,-0.89199
0.57,0.8715,0.081131,-0.85524
0.58,0.90237,-0.016717,-0.81435
0.59,0.92644,-0.11492,-0.76986
0.6,0.94361,-0.21236,-0.72231
0.61,0.95381,-0.30797,-0.67226
0.62,0.95705,-0.40068,-0.62027
0.63,0.95342,-0.4895,-0.56689
0.64,0.94302,-0.57349,-0.51263
0.65,0.92603,-0.65176,-0.45801
0.66,0.9027,-0.72353,-0.40349
0.67,0.87329,-0.7881,-0.34952
0.68,0.83814,-0.84484,-0.29647
0.69,0.7976,-0.89325,-0.24471
0.7,0.75207,-0.93292,-0.19453
0.71,0.70198,-0.96355,-0.14617
0.72,0.64778,-0.98494,-0.099831
0.73,0.58994,-0.99702,-0.055647
0.74,0.52895,-0.99979,-0.013702
0.75,0.46528,-0.9934,0.025972
0.76,0.39945,-0.97806,0.063394
0.77,0.33193,-0.95409,0.098632
0.78,0.26321,-0.92191,0.13179
0.79,0.19376,-0.88198,0.16303
0.8,0.12404,-0.83488,0.19253
0.81,0.054472,-0.78122,0.22049
0.82,-0.014527,-0.72167,0.24715
0.83,-0.082577,-0.65695,0.27276
0.84,-0.14933,-0.5878,0.29757
0.85,-0.21445,-0.51499,0.32183
0.86,-0.27767,-0.43931,0.3458
0.87,-0.33871,-0.36152,0.36971
0.88,-0.39737,-0.28239,0.39377
0.89,-0.45346,-0.20268,0.41818
0.9,-0.50681,-0.12309,0.44309
0.91,-0.55731,-0.044322,0.46862
0.92,-0.60485,0.033003,0.49485
0.93,-0.64938,0.10829,0.52182
0.94,-0.69085,0.18103,0.54949
0.95,-0.72925,0.25073,0.57782
0.96,-0.76456,0.31701,0.60668
0.97,-0.79682,0.37954,0.63591
0.98,-0.82605,0.43804,0.66528
0.99,-0.85228,0.49233,0.69453
1,-0.87557,0.54229,0.72335
1.01,-0.89597,0.58784,0.75138
1.02,-0.91352,0.62901,0.77824
1.03,-0.92828,0.66585,0.80351
1.04,-0.94029,0.69849,0.82675
1.05,-0.94959,0.72709,0.84749
1.06,-0.95619,0.75187,0.86528
1.07,-0.96013,0.77307,0.87964
1.08,-0.96142,0.79098,0.89012
1.09,-0.96003,0.80589,0.89627
1.1,-0.95597,0.81811,0.89768
1.11,-0.9492,0.82797,0.89397
1.12,-0.93968,0.83579,0.88478
1.13,-0.92737,0.84187,0.86984
1.14,-0.91222,0.84653,0.84891
1.15,-0.89417,0.85002,0.82183
1.16,-0.87315,0.85261,0.78849
1.17,-0.8491,0.8545,0.74887
1.18,-0.82197,0.85588,0.70303
1.19,-0.7917,0.85689,0.65111
1.2,-0.75825,0.85762,0.59333
1.21,-0.7216,0.85812,0.52999
1.22,-0.68173,0.85839,0.46149
1.23,-0.63866,0.85841,0.3883
1.24,-0.59241,0.85807,0.31096
1.25,-0.54305,0.85726,0.23009
1.26,-0.49066,0.8558,0.1464
1.27,-0.43537,0.85348,0.060613
1.28,-0.37734,0.85008,-0.026454
1.29,-0.31675,0.84532,-0.11396
1.3,-0.25384,0.83892,-0.20103
1.31,-0.18888,0.83059,-0.28677
1.32,-0.12218,0.82,-0.37026
1.33,-0.054066,0.80686,-0.4506
1.34,0.01507,0.79085,-0.52688
1.35,0.084819,0.77169,-0.59824
1.36,0.15473,0.74911,-0.66385
1.37,0.22435,0.72285,-0.72292
1.38,0.29315,0.69272,-0.77472
1.39,0.36064,0.65853,-0.8186
1.4,0.42628,0.62016,-0.854
1.41,0.48952,0.57755,-0.88042
1.42,0.54982,0.53066,-0.89749
1.43,0.60664,0.47953,-0.90494
1.44,0.65943,0.42427,-0.90259
1.45,0.70769,0.36503,-0.8904
1.46,0.75091,0.30204,-0.86844
1.47,0.78863,0.23559,-0.8369
1.48,0.82041,0.16603,-0.79609
1.49,0.84586,0.093754,-0.74644
1.5,0.86465,0.019242,-0.68847
1.51,0.87648,-0.056993,-0.62285
1.52,0.88113,-0.13439,-0.55032
1.53,0.87843,-0.21233,-0.47173
1.54,0.86829,-0.29019,-0.388
1.55,0.8507,-0.36728,-0.30012
1.56,0.8257,-0.44294,-0.20917
1.57,0.79342,-0.51645,-0.11625
1.58,0.75408,-0.58711,-0.022501
1.59,0.70795,-0.65423,0.070914
1.6,0.65542,-0.71713,0.16283
1.61,0.59691,-0.77514,0.25208
1.62,0.53294,-0.82766,0.33754
1.63,0.46408,-0.87409,0.41812
1.64,0.39099,-0.9139,0.49277
1.65,0.31435,-0.94662,0.56053
1.66,0.23494,-0.97183,0.62052
1.67,0.15353,-0.98919,0.67192
1.68,0.070972,-0.99844,0.71407
1.69,-0.011882,-0.99939,0.74637
1.7,-0.094155,-0.99193,0.76839
1.71,-0.17496,-0.97606,0.77979
1.72,-0.25341,-0.95183,0.78039
1.73,-0.32864,-0.91942,0.77014
1.74,-0.39979,-0.87907,0.74912
1.75,-0.46606,-0.8311,0.71758
1.76,-0.52665,-0.77594,0.67587
1.77,-0.58087,-0.71407,0.62448
1.78,-0.62803,-0.64606,0.56406
1.79,-0.66755,-0.57254,0.49533
1.8,-0.69892,-0.49421,0.41916
1.81,-0.72171,-0.41181,0.3365
1.82,-0.73559,-0.32613,0.2484
1.83,-0.74031,-0.23801,0.15596
1.84,-0.73574,-0.14829,0.060378
1.85,-0.72185,-0.057857,-0.037138
1.86,-0.69871,0.03242,-0.13533
1.87,-0.66649,0.12166,-0.23294
1.88,-0.62549,0.209,-0.3287
1.89,-0.57608,0.29359,-0.42137
1.9,-0.51877,0.37462,-0.50975
1.91,-0.45414,0.45131,-0.59268
1.92,-0.38285,0.52295,-0.66908
1.93,-0.30568,0.58885,-0.73794
1.94,-0.22346,0.64842,-0.79835
1.95,-0.13709,0.70112,-0.84951
1.96,-0.047526,0.74648,-0.89073
1.97,0.044225,0.78411,-0.92145
1.98,0.13712,0.81373,-0.94123
