0,0.00072681,0.00062596,-0.00023878,7.1498e-06
0.01,0.074958,0.064991,-0.055085,0.0049758
0.02,0.14725,0.1317,-0.11105,0.010103
0.03,0.21704,0.20009,-0.16777,0.015375
0.04,0.28375,0.26949,-0.22486,0.020776
0.05,0.34688,0.33923,-0.28192,0.026291
0.06,0.40594,0.4086,-0.33851,0.031905
0.07,0.46048,0.47692,-0.39418,0.037603
0.08,0.51009,0.54352,-0.44847,0.043369
0.09,0.55441,0.60772,-0.50092,0.049186
0.1,0.59314,0.66889,-0.55105,0.05504
0.11,0.626,0.72642,-0.59839,0.060914
0.12,0.65278,0.77971,-0.64248,0.066791
0.13,0.67332,0.82824,-0.68289,0.072656
0.14,0.68751,0.87152,-0.71919,0.078492
0.15,0.69529,0.90909,-0.75097,0.084283
0.16,0.69666,0.94056,-0.77788,0.090013
0.17,0.69167,0.96562,-0.79957,0.095665
0.18,0.68042,0.98399,-0.81576,0.10122
0.19,0.66305,0.99546,-0.82621,0.10667
0.2,0.63975,0.9999,-0.8307,0.11199
0.21,0.61078,0.99723,-0.8291,0.11718
0.22,0.5764,0.98746,-0.82131,0.1222
0.23,0.53695,0.97064,-0.80731,0.12705
0.24,0.49278,0.94692,-0.78711,0.13171
0.25,0.44427,0.91648,-0.7608,0.13617
0.26,0.39186,0.87959,-0.72854,0.14041
0.27,0.33598,0.83658,-0.69051,0.14442
0.28,0.27711,0.78781,-0.647,0.14818
0.29,0.21572,0.73372,-0.59832,0.15169
0.3,0.15231,0.6748,-0.54485,0.15491
0.31,0.087404,0.61156,-0.48703,0.15785
0.32,0.021501,0.54458,-0.42533,0.16049
0.33,-0.044881,0.47445,-0.36027,0.16282
0.34,-0.11123,0.40179,-0.29243,0.16482
0.35,-0.17704,0.32724,-0.22239,0.16649
0.36,-0.24181,0.25147,-0.1508,0.16781
0.37,-0.30506,0.17513,-0.078286,0.16877
0.38,-0.36633,0.098891,-0.0055265,0.16937
0.39,-0.42516,0.023414,0.066806,0.16959
0.4,-0.48114,-0.050658,0.13803,0.16942
0.41,-0.53386,-0.1227,0.20748,0.16886
0.42,-0.58296,-0.19211,0.27449,0.1679
0.43,-0.62809,-0.25831,0.33842,0.16653
0.44,-0.66894,-0.32078,0.39866,0.16474
0.45,-0.70524,-0.37902,0.4546,0.16254
0.46,-0.73675,-0.43259,0.50572,0.1599
0.47,-0.76326,-0.4811,0.55151,0.15684
0.48,-0.78461,-0.5242,0.59151,0.15334
0.49,-0.80066,-0.56161,0.62533,0.1494
0.5,-0.81131,-0.59311,0.65264,0.14502
0.51,-0.81652,-0.61855,0.67316,0.1402
0.52,-0.81626,-0.63781,0.68668,0.13493
0.53,-0.81054,-0.65087,0.69308,0.12922
0.54,-0.79943,-0.65775,0.69228,0.12306
0.55,-0.78301,-0.65855,0.6843,0.11646
0.56,-0.7614,-0.65341,0.66921,0.10941
0.57,-0.73475,-0.64254,0.64717,0.10193
0.58,-0.70325,-0.62621,0.61841,0.094
0.59,-0.66711,-0.60473,0.58322,0.085641
0.6,-0.62658,-0.57848,0.54197,0.076851
0.61,-0.58192,-0.54786,0.49506,0.067635
0.62,-0.53343,-0.51333,0.443,0.057998
0.63,-0.4814,-0.47536,0.38632,0.047948
0.64,-0.42619,-0.43447,0.3256,0.03749
0.65,-0.36813,-0.39121,0.26148,0.026632
0.66,-0.30758,-0.34612,0.19462,0.015383
0.67,-0.24493,-0.29978,0.12571,0.0037501
0.68,-0.18055,-0.25276,0.055475,-0.0082562
0.69,-0.11484,-0.20564,-0.01535,-0.020626
0.7,-0.048203,-0.15897,-0.086026,-0.033349
