0,0
0.01,0.0062839
0.02,0.012569
0.03,0.018855
0.04,0.025142
0.05,0.031429
0.06,0.037717
0.07,0.044005
0.08,0.050292
0.09,0.056579
0.1,0.062865
0.11,0.06915
0.12,0.075434
0.13,0.081716
0.14,0.087997
0.15,0.094276
0.16,0.10055
0.17,0.10683
0.18,0.1131
0.19,0.11937
0.2,0.12563
0.21,0.13189
0.22,0.13815
0.23,0.1444
0.24,0.15065
0.25,0.1569
0.26,0.16314
0.27,0.16937
0.28,0.1756
0.29,0.18183
0.3,0.18804
0.31,0.19426
0.32,0.20046
0.33,0.20666
0.34,0.21285
0.35,0.21904
0.36,0.22522
0.37,0.23139
0.38,0.23755
0.39,0.24371
0.4,0.24985
0.41,0.25599
0.42,0.26212
0.43,0.26824
0.44,0.27435
0.45,0.28045
0.46,0.28654
0.47,0.29262
0.48,0.2987
0.49,0.30476
0.5,0.31081
0.51,0.31684
0.52,0.32287
0.53,0.32889
0.54,0.33489
0.55,0.34088
0.56,0.34686
0.57,0.35283
0.58,0.35878
0.59,0.36472
0.6,0.37065
0.61,0.37656
0.62,0.38246
0.63,0.38835
0.64,0.39422
0.65,0.40007
0.66,0.40591
0.67,0.41174
0.68,0.41755
0.69,0.42335
0.7,0.42913
0.71,0.43489
0.72,0.44064
0.73,0.44637
0.74,0.45208
0.75,0.45778
0.76,0.46346
0.77,0.46912
0.78,0.47476
0.79,0.48039
0.8,0.486
0.81,0.49159
0.82,0.49716
0.83,0.50271
0.84,0.50824
0.85,0.51375
0.86,0.51924
0.87,0.52471
0.88,0.53017
0.89,0.5356
0.9,0.54101
0.91,0.5464
0.92,0.55177
0.93,0.55711
0.94,0.56244
0.95,0.56774
0.96,0.57303
0.97,0.57828
0.98,0.58352
0.99,0.58873
1,0.59392
1.01,0.59909
1.02,0.60423
1.03,0.60935
1.04,0.61445
1.05,0.61952
1.06,0.62457
1.07,0.62959
1.08,0.63459
1.09,0.63956
1.1,0.64451
1.11,0.64943
1.12,0.65432
1.13,0.65919
1.14,0.66404
1.15,0.66885
1.16,0.67364
1.17,0.6784
1.18,0.68314
1.19,0.68785
1.2,0.69253
1.21,0.69718
1.22,0.70181
1.23,0.7064
1.24,0.71097
1.25,0.71551
1.26,0.72002
1.27,0.7245
1.28,0.72895
1.29,0.73338
1.3,0.73777
1.31,0.74213
1.32,0.74647
1.33,0.75077
1.34,0.75504
1.35,0.75928
1.36,0.76349
1.37,0.76767
1.38,0.77182
1.39,0.77593
1.4,0.78002
1.41,0.78407
1.42,0.78809
1.43,0.79208
1.44,0.79603
1.45,0.79996
1.46,0.80385
1.47,0.8077
1.48,0.81153
1.49,0.81532
1.5,0.81907
1.51,0.8228
1.52,0.82648
1.53,0.83014
1.54,0.83376
1.55,0.83734
1.56,0.84089
1.57,0.84441
1.58,0.84789
1.59,0.85133
1.6,0.85474
1.61,0.85812
1.62,0.86145
1.63,0.86476
1.64,0.86802
1.65,0.87125
1.66,0.87445
1.67,0.8776
1.68,0.88072
1.69,0.8838
1.7,0.88685
1.71,0.88986
1.72,0.89283
1.73,0.89576
1.74,0.89866
1.75,0.90152
1.76,0.90434
1.77,0.90712
1.78,0.90986
1.79,0.91256
1.8,0.91523
1.81,0.91786
1.82,0.92044
1.83,0.92299
1.84,0.9255
1.85,0.92797
1.86,0.9304
1.87,0.9328
1.88,0.93515
1.89,0.93746
1.9,0.93973
1.91,0.94196
1.92,0.94415
1.93,0.9463
1.94,0.94841
1.95,0.95048
1.96,0.95251
1.97,0.9545
1.98,0.95645
1.99,0.95835
2,0.96021
2.01,0.96204
2.02,0.96382
2.03,0.96556
2.04,0.96726
2.05,0.96891
2.06,0.97053
2.07,0.9721
2.08,0.97363
2.09,0.97512
2.1,0.97656
2.11,0.97797
2.12,0.97933
2.13,0.98065
2.14,0.98192
2.15,0.98315
2.16,0.98434
2.17,0.98549
2.18,0.9866
2.19,0.98766
2.2,0.98867
2.21,0.98965
2.22,0.99058
2.23,0.99147
2.24,0.99231
2.25,0.99311
2.26,0.99387
2.27,0.99458
2.28,0.99525
2.29,0.99588
2.3,0.99646
2.31,0.99699
2.32,0.99749
2.33,0.99794
2.34,0.99834
2.35,0.9987
2.36,0.99902
2.37,0.99929
2.38,0.99952
2.39,0.99971
2.4,0.99985
2.41,0.99994
2.42,0.99999
2.43,1
2.44,0.99996
2.45,0.99988
2.46,0.99975
2.47,0.99958
2.48,0.99936
2.49,0.9991
2.5,0.99879
2.51,0.99844
2.52,0.99804
2.53,0.9976
2.54,0.99712
2.55,0.99659
2.56,0.99601
2.57,0.99539
2.58,0.99472
2.59,0.99401
2.6,0.99326
2.61,0.99246
2.62,0.99162
2.63,0.99073
